id;title;status;slug;menu_order;classe;chapitre;difficult;solve;annale;
2076;Exponentielle - Bac ES/L Amérique du Nord 2013;active;exponentielle-bac-es-amerique-nord-2013;4;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2013;15132040
2101;QCM Suites - Bac ES/L Centres étrangers 2013;active;qcm-suites-bac-es-centres-etrangers-2013;8202001;tle-complementaire;tc-suites;2;exercice-corrige;bac-esl-centres-etrangers-2013;15132510
2104;Probabilités - Bac ES/L Centres étrangers 2013;active;probabilites-bac-es-centres-etrangers-2013;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;en-attente-de-correction;bac-esl-centres-etrangers-2013;15132520
2107;Fonctions - Convexité - Bac ES/L Centres étrangers 2013;active;fonction-convexe-bac-es-centres-etrangers-2013;8402001;tle-complementaire;tc-derivees-convexite;2;en-attente-de-correction;bac-esl-centres-etrangers-2013;15132530
2110;Lois continues - Bac ES/L Centres étrangers 2013;active;lois-continues-bac-es-centres-etrangers-2013;8702001;tle-complementaire;tc-lois-a-densite;2;en-attente-de-correction;bac-esl-centres-etrangers-2013;15132540
2051;QCM - Bac ES/L Liban 2013;active;qcm-bac-es-liban-2013;1;tle-complementaire;NULL;2;NULL;bac-esl-liban-2013;15134010
2054;Suites arithmético-géométrique - Bac ES/L Liban 2013;active;suites-bac-es-liban-2013;8202001;tle-complementaire;tc-suites;2;en-attente-de-correction;bac-esl-liban-2013;15134020
2061;Fonctions - Bac ES/L Liban 2013;active;fonctions-bac-es-liban-2013;3;tle-complementaire;NULL;2;NULL;bac-esl-liban-2013;15134030
2063;Probabilités - Bac ES/L Liban 2013;active;probabilites-bac-es-liban-2013;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-esl-liban-2013;15134040
2113;Probabilités - Bac ES/L Métropole 2013;active;probabilites-bac-es-metropole-2013;1;tle-complementaire;NULL;2;NULL;bac-esl-metropole-2013;15135010
2116;QCM - Bac ES/L Métropole 2013;active;qcm-bac-es-metropole-2013;2;tle-complementaire;NULL;2;NULL;bac-esl-metropole-2013;15135020
2121;Fonction exponentielle - Bac ES/L Métropole 2013;active;fonctions-bac-es-metropole-2013;3;tle-complementaire;tes-exponentielle;2;exercice-corrige;bac-esl-metropole-2013;15135030
2123;Fonctions - Estimations - Bac ES/L Métropole 2013;active;fonctions-bac-es-metropole-2013-2;4;tle-complementaire;NULL;1;NULL;bac-esl-metropole-2013;15135040
2080;QCM - Bac ES/L Polynésie 2013;active;qcm-bac-es-polynesie-2013;1;tle-complementaire;NULL;2;NULL;bac-esl-polynesie-2013;15135510
2082;Probabilités - Bac ES/L Polynésie 2013;active;probabilites-bac-es-polynesie-2013;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;en-attente-de-correction;bac-esl-polynesie-2013;15135520
2086;Probabilités - Bac ES/L Polynésie 2013 (Spé);active;probabilites-bac-es-spe-polynesie-2013;2;tle-complementaire;NULL;2;NULL;bac-esl-polynesie-2013;15135530
2093;Suites - Bac ES/L Polynésie 2013;active;suites-bac-es-polynesie-2013;8202001;tle-complementaire;tc-suites;2;en-attente-de-correction;bac-esl-polynesie-2013;15135540
2098;Loi normale - Bac ES/L Polynésie 2013;active;loi-normale-bac-es-polynesie-2013;8702001;tle-complementaire;tc-lois-a-densite;2;en-attente-de-correction;bac-esl-polynesie-2013;15135550
2032;QCM - Bac ES/L Pondichéry 2013;active;qcm-bac-es-pondichery-2013;1;tle-complementaire;NULL;2;exercice-corrige;bac-esl-pondichery-2013;15136010
2034;Probabilités - Bac ES/L Pondichéry 2013;active;probabilites-bac-es-pondichery-2013;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-esl-pondichery-2013;15136020
2044;Fonctions - Loi normale  - Bac ES/L Pondichéry 2013;active;fonctions-loi-normale-bac-es-pondichery-2013;4;tle-complementaire;NULL;2;exercice-corrige;bac-esl-pondichery-2013;15136030
2153;QCM Fonctions - Bac ES/L Amérique du Nord 2014;active;qcm-bac-es-amerique-nord-2014;1;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2014;15142010
2158;Probabilités - Bac ES/L Amérique du Nord 2014;active;probabilites-bac-es-amerique-nord-2014;2;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2014;15142020
